Size,Power,Design
50.0000,0.0800612,"Independent Groups"
100.000,0.113051,"Independent Groups"
150.000,0.146671,"Independent Groups"
200.000,0.180660,"Independent Groups"
250.000,0.214780,"Independent Groups"
300.000,0.248821,"Independent Groups"
350.000,0.282599,"Independent Groups"
400.000,0.315954,"Independent Groups"
450.000,0.348751,"Independent Groups"
500.000,0.380871,"Independent Groups"
550.000,0.412219,"Independent Groups"
600.000,0.442714,"Independent Groups"
650.000,0.472291,"Independent Groups"
700.000,0.500900,"Independent Groups"
750.000,0.528501,"Independent Groups"
800.000,0.555070,"Independent Groups"
850.000,0.580586,"Independent Groups"
900.000,0.605044,"Independent Groups"
950.000,0.628440,"Independent Groups"
1000.00,0.650781,"Independent Groups"
1050.00,0.672079,"Independent Groups"
1100.00,0.692349,"Independent Groups"
1150.00,0.711611,"Independent Groups"
1200.00,0.729889,"Independent Groups"
1250.00,0.747210,"Independent Groups"
1300.00,0.763602,"Independent Groups"
1350.00,0.779095,"Independent Groups"
1400.00,0.793723,"Independent Groups"
1450.00,0.807516,"Independent Groups"
1500.00,0.820509,"Independent Groups"
1550.00,0.832736,"Independent Groups"
1600.00,0.844230,"Independent Groups"
1650.00,0.855024,"Independent Groups"
1700.00,0.865152,"Independent Groups"
1750.00,0.874646,"Independent Groups"
1800.00,0.883539,"Independent Groups"
1850.00,0.891861,"Independent Groups"
1900.00,0.899643,"Independent Groups"
1950.00,0.906915,"Independent Groups"
2000.00,0.913704,"Independent Groups"
2050.00,0.920039,"Independent Groups"
2100.00,0.925945,"Independent Groups"
2150.00,0.931448,"Independent Groups"
2200.00,0.936572,"Independent Groups"
2250.00,0.941340,"Independent Groups"
2300.00,0.945774,"Independent Groups"
2350.00,0.949894,"Independent Groups"
2400.00,0.953722,"Independent Groups"
2450.00,0.957275,"Independent Groups"
2500.00,0.960571,"Independent Groups"
2550.00,0.963628,"Independent Groups"
2600.00,0.966461,"Independent Groups"
2650.00,0.969085,"Independent Groups"
2700.00,0.971515,"Independent Groups"
2750.00,0.973764,"Independent Groups"
2800.00,0.975843,"Independent Groups"
2850.00,0.977766,"Independent Groups"
2900.00,0.979543,"Independent Groups"
2950.00,0.981185,"Independent Groups"
3000.00,0.982700,"Independent Groups"
50.0000,0.113777,"Repeated Measurement"
100.000,0.222166,"Repeated Measurement"
150.000,0.334749,"Repeated Measurement"
200.000,0.443335,"Repeated Measurement"
250.000,0.542841,"Repeated Measurement"
300.000,0.630615,"Repeated Measurement"
350.000,0.705769,"Repeated Measurement"
400.000,0.768580,"Repeated Measurement"
450.000,0.820031,"Repeated Measurement"
500.000,0.861462,"Repeated Measurement"
550.000,0.894335,"Repeated Measurement"
600.000,0.920084,"Repeated Measurement"
650.000,0.940023,"Repeated Measurement"
700.000,0.955306,"Repeated Measurement"
750.000,0.966913,"Repeated Measurement"
800.000,0.975654,"Repeated Measurement"
850.000,0.982187,"Repeated Measurement"
900.000,0.987036,"Repeated Measurement"
950.000,0.990612,"Repeated Measurement"
1000.00,0.993233,"Repeated Measurement"
1050.00,0.995144,"Repeated Measurement"
1100.00,0.996530,"Repeated Measurement"
1150.00,0.997530,"Repeated Measurement"
1200.00,0.998248,"Repeated Measurement"
1250.00,0.998762,"Repeated Measurement"
1300.00,0.999128,"Repeated Measurement"
1350.00,0.999388,"Repeated Measurement"
1400.00,0.999571,"Repeated Measurement"
1450.00,0.999701,"Repeated Measurement"
1500.00,0.999792,"Repeated Measurement"
1550.00,0.999855,"Repeated Measurement"
1600.00,0.999900,"Repeated Measurement"
1650.00,0.999931,"Repeated Measurement"
1700.00,0.999952,"Repeated Measurement"
1750.00,0.999967,"Repeated Measurement"
1800.00,0.999978,"Repeated Measurement"
1850.00,0.999985,"Repeated Measurement"
1900.00,0.999990,"Repeated Measurement"
1950.00,0.999993,"Repeated Measurement"
2000.00,0.999995,"Repeated Measurement"
2050.00,0.999997,"Repeated Measurement"
2100.00,0.999998,"Repeated Measurement"
2150.00,0.999998,"Repeated Measurement"
2200.00,0.999999,"Repeated Measurement"
2250.00,0.999999,"Repeated Measurement"
2300.00,1.00000,"Repeated Measurement"
2350.00,1.00000,"Repeated Measurement"
2400.00,1.00000,"Repeated Measurement"
2450.00,1.00000,"Repeated Measurement"
2500.00,1.00000,"Repeated Measurement"
2550.00,1.00000,"Repeated Measurement"
2600.00,1.00000,"Repeated Measurement"
2650.00,1.00000,"Repeated Measurement"
2700.00,1.00000,"Repeated Measurement"
2750.00,1.00000,"Repeated Measurement"
2800.00,1.00000,"Repeated Measurement"
2850.00,1.00000,"Repeated Measurement"
2900.00,1.00000,"Repeated Measurement"
2950.00,1.00000,"Repeated Measurement"
3000.00,1.00000,"Repeated Measurement"
